"N1","N2","POS1","POS2","Freq"
"なる","こと","動詞-名詞","自立-非自立",39
"求める","られる","動詞-動詞","自立-接尾",38
"利用","する","名詞-動詞","サ変接続-自立",38
"2020","年","名詞-名詞","数-接尾",37
"次","産業","名詞-名詞","接尾-一般",37
"城北","高校","名詞-名詞","固有名詞-一般",37
"鳥取","城北","名詞-名詞","固有名詞-固有名詞",37
"土地","価格","名詞-名詞","一般-一般",37
"活性","化","名詞-名詞","一般-接尾",36
"傾向","ある","名詞-動詞","一般-自立",35
"人口","減少","名詞-名詞","一般-サ変接続",35
"鳥取","県内","名詞-名詞","固有名詞-一般",34
"万","円","名詞-名詞","数-接尾",34
"いる","人","動詞-名詞","非自立-一般",33
"飲食","店","名詞-名詞","サ変接続-接尾",33
"感染","者","名詞-名詞","サ変接続-接尾",33
"奨学","金","名詞-名詞","一般-接尾",33
"令","和","名詞-名詞","一般-一般",33
"とる","とる","動詞-動詞","自立-非自立",32
"活用","する","名詞-動詞","サ変接続-自立",32
"自分","たち","名詞-名詞","一般-接尾",32
"地域","活性","名詞-名詞","一般-一般",32
"展開","する","名詞-動詞","サ変接続-自立",32
"いる","よう","動詞-名詞","非自立-非自立",31
"する","くる","動詞-動詞","自立-非自立",31
"する","みる","動詞-動詞","自立-非自立",31
"スマート","フォン","名詞-名詞","固有名詞-一般",31
"化","率","名詞-名詞","接尾-接尾",31
"従業","員","名詞-名詞","サ変接続-接尾",31
"全国","平均","名詞-名詞","一般-サ変接続",31
"BUSINESS","ONLINE","名詞-名詞","一般-一般",30
"ある","こと","動詞-名詞","自立-非自立",30
"する","人","動詞-名詞","自立-一般",30
"魅力","的","名詞-名詞","一般-接尾",30
"オンライン","授業","名詞-名詞","一般-サ変接続",29
"影響","受ける","名詞-動詞","サ変接続-自立",29
"必要","ある","名詞-動詞","形容動詞語幹-自立",29
"4","月","名詞-名詞","数-一般",28
"できる","の","動詞-名詞","自立-非自立",28
"ウイルス","影響","名詞-名詞","一般-サ変接続",28
"具体","的","名詞-名詞","一般-接尾",28
"高齢","者","名詞-名詞","一般-接尾",28
"事業","所","名詞-名詞","一般-接尾",28
"こと","分かる","名詞-動詞","非自立-自立",27
"せる","いただく","動詞-動詞","接尾-非自立",27
"県","人口","名詞-名詞","接尾-一般",27
"性","ある","名詞-動詞","接尾-自立",27
"生活","様式","名詞-名詞","サ変接続-一般",27
"V","-","名詞-名詞","固有名詞-サ変接続",26
"できる","よう","動詞-名詞","自立-非自立",26
"一","人","名詞-名詞","数-接尾",26
"感染","拡大","名詞-名詞","サ変接続-サ変接続",26
"思う","れる","動詞-動詞","自立-接尾",26
"実施","する","名詞-動詞","サ変接続-自立",26
"総務","省","名詞-名詞","一般-接尾",26
"働く","方","動詞-名詞","自立-接尾",26
"名刺","交換","名詞-名詞","一般-サ変接続",26
"の","思う","名詞-動詞","非自立-自立",25
"安部","Project","名詞-名詞","固有名詞-一般",25
"支援","する","名詞-動詞","サ変接続-自立",25
"者","数","名詞-名詞","接尾-接尾",25
"掃除","ロボット","名詞-名詞","サ変接続-一般",25
"年","6","名詞-名詞","接尾-数",25
"福利","厚生","名詞-名詞","一般-一般",25
",","000","名詞-名詞","サ変接続-数",24
"いる","私","動詞-名詞","非自立-代名詞",24
"こと","考える","名詞-動詞","非自立-自立",24
"こと","鳥取","名詞-名詞","非自立-固有名詞",24
"産業","革命","名詞-名詞","一般-一般",24
"多い","の","形容詞-名詞","自立-非自立",24
"都市","部","名詞-名詞","一般-接尾",24
"発信","する","名詞-動詞","サ変接続-自立",24
"補助","金","名詞-名詞","サ変接続-接尾",24
"万","人","名詞-名詞","数-接尾",24
"2","年","名詞-名詞","数-接尾",23
"6","月","名詞-名詞","数-一般",23
"いく","の","動詞-名詞","非自立-非自立",23
"できる","こと","動詞-名詞","自立-非自立",23
"みる","くださる","動詞-動詞","非自立-非自立",23
"言える","の","動詞-名詞","自立-非自立",23
"行う","いる","動詞-動詞","自立-非自立",23
"子育て","王国","名詞-名詞","サ変接続-一般",23
"全国","的","名詞-名詞","一般-接尾",23
"増加","する","名詞-動詞","サ変接続-自立",23
"提供","する","名詞-動詞","サ変接続-自立",23
"-","RESAS","名詞-名詞","サ変接続-固有名詞",22
"ある","鳥取","動詞-名詞","自立-固有名詞",22
"いく","思う","動詞-動詞","非自立-自立",22
"くる","いる","動詞-動詞","非自立-非自立",22
"する","おる","動詞-動詞","自立-非自立",22
"の","鳥取","名詞-名詞","非自立-固有名詞",22
"られる","の","動詞-名詞","接尾-非自立",22
"れる","こと","動詞-名詞","接尾-非自立",22
"億","円","名詞-名詞","数-接尾",22
"県","V","名詞-名詞","接尾-固有名詞",22
"県","全国","名詞-名詞","接尾-一般",22
"持つ","いる","動詞-動詞","自立-非自立",22
"地元","愛","名詞-名詞","一般-接尾",22
"和","2","名詞-名詞","一般-数",22
"ある","思う","動詞-動詞","自立-自立",21
"いる","ため","動詞-名詞","非自立-非自立",21
"いる","方","動詞-名詞","非自立-非自立",21
"こと","多い","名詞-形容詞","非自立-自立",21
"パブリック","コメント","名詞-名詞","一般-サ変接続",21
"引用","鳥取","名詞-名詞","サ変接続-固有名詞",21
"減少","する","名詞-動詞","サ変接続-自立",21
"自己","理念","名詞-名詞","一般-一般",21
"詳細","こちら","名詞-名詞","形容動詞語幹-代名詞",21
"挑戦","する","名詞-動詞","サ変接続-自立",21
"2","軸","名詞-名詞","数-一般",20
"する","よう","動詞-名詞","自立-非自立",20
"れる","方","動詞-名詞","接尾-非自立",20
"アフター","コロナ","名詞-名詞","一般-一般",20
"使う","れる","動詞-動詞","自立-接尾",20
"生産","性","名詞-名詞","サ変接続-接尾",20
"予想","する","名詞-動詞","サ変接続-自立",20
"2019","年","名詞-名詞","数-接尾",19
"ある","言える","動詞-動詞","自立-自立",19
"いる","言える","動詞-動詞","非自立-自立",19
"こと","なる","名詞-動詞","非自立-自立",19
"の","私","名詞-名詞","非自立-代名詞",19
"やる","こと","動詞-名詞","自立-非自立",19
"王国","とる","名詞-動詞","一般-自立",19
"最低","賃金","名詞-名詞","一般-一般",19
"私","考える","名詞-動詞","代名詞-自立",19
"失業","率","名詞-名詞","サ変接続-接尾",19
"就職","活動","名詞-名詞","サ変接続-サ変接続",19
"人","たち","名詞-名詞","一般-接尾",19
"ある","よう","動詞-名詞","自立-非自立",18
"ご覧","くださる","名詞-動詞","動詞非自立的-自立",18
"する","くれる","動詞-動詞","自立-非自立",18
"する","もの","動詞-名詞","自立-非自立",18
"なる","よう","動詞-名詞","自立-非自立",18
"の","しれる","名詞-動詞","非自立-自立",18
"よう","する","名詞-動詞","非自立-自立",18
"れる","の","動詞-名詞","接尾-非自立",18
"一","度","名詞-名詞","数-接尾",18
"観光","業","名詞-名詞","サ変接続-接尾",18
"高い","なる","形容詞-動詞","自立-自立",18
"新しい","生活","形容詞-名詞","自立-サ変接続",18
"積極","的","名詞-名詞","形容動詞語幹-接尾",18
"設立","する","名詞-動詞","サ変接続-自立",18
"導入","する","名詞-動詞","サ変接続-自立",18
"読書","する","名詞-動詞","サ変接続-自立",18
"普及","率","名詞-名詞","サ変接続-接尾",18
"路線","バス","名詞-名詞","一般-一般",18
"1","人","名詞-名詞","数-接尾",17
"いる","今回","動詞-名詞","非自立-副詞可能",17
"こと","ない","名詞-形容詞","非自立-自立",17
"する","やすい","動詞-形容詞","自立-非自立",17
"ない","こと","形容詞-名詞","自立-非自立",17
"やすい","環境","形容詞-名詞","非自立-一般",17
"コロナ","禍","名詞-名詞","一般-接尾",17
"チェーン","店","名詞-名詞","一般-接尾",17
"ポイント","還元","名詞-名詞","一般-サ変接続",17
"基本","的","名詞-名詞","一般-接尾",17
"県","高齢","名詞-名詞","接尾-一般",17
"考える","いく","動詞-動詞","自立-非自立",17
"使う","こと","動詞-名詞","自立-非自立",17
"子育て","支援","名詞-名詞","サ変接続-サ変接続",17
"取り組み","行う","名詞-動詞","一般-自立",17
"消滅","可能","名詞-名詞","サ変接続-形容動詞語幹",17
"政経","レポート","名詞-名詞","一般-サ変接続",17
"対応","する","名詞-動詞","サ変接続-自立",17
"中小","企業","名詞-名詞","一般-一般",17
"鳥取","県民","名詞-名詞","固有名詞-一般",17
"普及","する","名詞-動詞","サ変接続-自立",17
"TOTTORI","BUSINESS","名詞-名詞","一般-一般",16
"する","する","動詞-動詞","自立-自立",16
"せる","こと","動詞-名詞","接尾-非自立",16
"一","日","名詞-名詞","数-接尾",16
"解決","する","名詞-動詞","サ変接続-自立",16
"活動","する","名詞-動詞","サ変接続-自立",16
"感染","症","名詞-名詞","サ変接続-接尾",16
"緊急","事態","名詞-名詞","形容動詞語幹-一般",16
"見る","いく","動詞-動詞","自立-非自立",16
"厚生","労働省","名詞-名詞","一般-固有名詞",16
"今回","鳥取","名詞-名詞","副詞可能-固有名詞",16
"事態","宣言","名詞-名詞","一般-サ変接続",16
"就職","する","名詞-動詞","サ変接続-自立",16
"占める","いる","動詞-動詞","自立-非自立",16
"知る","いる","動詞-動詞","自立-非自立",16
"電気","代","名詞-名詞","一般-接尾",16
"1",",","名詞-名詞","数-サ変接続",15
"7","月","名詞-名詞","数-一般",15
"いる","思う","動詞-動詞","非自立-自立",15
"いる","中","動詞-名詞","非自立-非自立",15
"いる","日本","動詞-名詞","非自立-固有名詞",15
"する","場合","動詞-名詞","自立-副詞可能",15
"する","地域","動詞-名詞","自立-一般",15
"なる","鳥取","動詞-名詞","自立-固有名詞",15
"もの","なる","名詞-動詞","非自立-自立",15
"テレ","ワーク","名詞-名詞","固有名詞-一般",15
"ミレニアル","世代","名詞-名詞","一般-一般",15
"一","次","名詞-名詞","数-接尾",15
"飲食","券","名詞-名詞","サ変接続-接尾",15
"影響","与える","名詞-動詞","サ変接続-自立",15
"掲載","する","名詞-動詞","サ変接続-自立",15
"見る","こと","動詞-名詞","自立-非自立",15
"次","よう","名詞-名詞","一般-非自立",15
"自家用車","普及","名詞-名詞","一般-サ変接続",15
"受ける","いる","動詞-動詞","自立-非自立",15
"住","地","名詞-名詞","一般-接尾",15
"住む","いる","動詞-動詞","自立-非自立",15
"商品","券","名詞-名詞","一般-接尾",15
"上昇","する","名詞-動詞","サ変接続-自立",15
"人","いる","名詞-動詞","一般-自立",15
"人口","少ない","名詞-形容詞","一般-自立",15
"人口","密度","名詞-名詞","一般-一般",15
"多い","なる","形容詞-動詞","自立-自立",15
"大学","進学","名詞-名詞","一般-サ変接続",15
"知る","こと","動詞-名詞","自立-非自立",15
"地元","就職","名詞-名詞","一般-サ変接続",15
"中","鳥取","名詞-名詞","非自立-固有名詞",15
"方","多い","名詞-形容詞","非自立-自立",15
"率","高い","名詞-形容詞","接尾-自立",15
"Go","To","名詞-名詞","固有名詞-一般",14
"TOTTORI","BUSINESS","名詞-名詞","固有名詞-一般",14
"Web","就活","名詞-名詞","固有名詞-一般",14
"ある","考える","動詞-動詞","自立-自立",14
"いる","地域","動詞-名詞","非自立-一般",14
"こと","する","名詞-動詞","非自立-自立",14
"こと","挙げる","名詞-動詞","非自立-自立",14
"こと","指す","名詞-動詞","非自立-自立",14
"する","時","動詞-名詞","自立-非自立",14
"する","取り組み","動詞-名詞","自立-一般",14
"もの","ある","名詞-動詞","非自立-自立",14
"ロボット","使う","名詞-動詞","一般-自立",14
"価値","観","名詞-名詞","一般-接尾",14
"県","魅力","名詞-名詞","接尾-一般",14
"仕事","する","名詞-動詞","サ変接続-自立",14
"子ども","達","名詞-名詞","一般-接尾",14
"実現","する","名詞-動詞","サ変接続-自立",14
"人","当たり","名詞-名詞","接尾-一般",14
"性","都市","名詞-名詞","接尾-一般",14
"大山","町","名詞-名詞","固有名詞-接尾",14
"地","面積","名詞-名詞","接尾-一般",14
"年","後","名詞-名詞","接尾-接尾",14
"米子","市","名詞-名詞","固有名詞-接尾",14
"利用","者","名詞-名詞","サ変接続-接尾",14
"力","入れる","名詞-動詞","一般-自立",14
"1","日","名詞-名詞","数-接尾",13
"10","年","名詞-名詞","数-接尾",13
"2",",","名詞-名詞","数-サ変接続",13
"?","取る","名詞-動詞","サ変接続-自立",13
"０","０","名詞-名詞","数-数",13
"ある","私","動詞-名詞","自立-代名詞",13
"いく","鳥取","動詞-名詞","非自立-固有名詞",13
"いる","現在","動詞-名詞","非自立-副詞可能",13
"できる","鳥取","動詞-名詞","自立-固有名詞",13
"の","こと","名詞-名詞","非自立-非自立",13
"やすい","なる","形容詞-動詞","非自立-自立",13
"よう","鳥取","名詞-名詞","非自立-固有名詞",13
"られる","こと","動詞-名詞","接尾-非自立",13
"プレミアム","付","名詞-名詞","一般-接尾",13
"リモート","ワーク","名詞-名詞","一般-一般",13
"移住","する","名詞-動詞","サ変接続-自立",13
"化","進む","名詞-動詞","接尾-自立",13
"夏","祭り","名詞-名詞","一般-一般",13
"感じる","いる","動詞-動詞","自立-非自立",13
"期待","する","名詞-動詞","サ変接続-自立",13
"気","なる","名詞-動詞","一般-自立",13
"形成","する","名詞-動詞","サ変接続-自立",13
"月","1","名詞-名詞","一般-数",13
"現在","鳥取","名詞-名詞","副詞可能-固有名詞",13
"交換","オンライン","名詞-名詞","サ変接続-一般",13
"公共","交通","名詞-名詞","一般-一般",13
"軸","思考","名詞-名詞","一般-サ変接続",13
"充実","する","名詞-動詞","サ変接続-自立",13
"旬刊","政経","名詞-名詞","一般-一般",13
"所","数","名詞-名詞","接尾-接尾",13
"商店","街","名詞-名詞","一般-接尾",13
"生涯","賃金","名詞-名詞","副詞可能-一般",13
"増える","いる","動詞-動詞","自立-非自立",13
"代表","取締役","名詞-名詞","サ変接続-一般",13
"働く","やすい","動詞-形容詞","自立-非自立",13
"000","円","名詞-名詞","数-接尾",12
"2017","年","名詞-名詞","数-接尾",12
"500","円","名詞-名詞","数-接尾",12
"RESAS","鳥取","名詞-名詞","固有名詞-固有名詞",12
"Web","就活","名詞-名詞","一般-一般",12
"ある","しれる","動詞-動詞","自立-自立",12
"いる","の","動詞-名詞","自立-非自立",12
"いる","もの","動詞-名詞","非自立-非自立",12
"いる","考える","動詞-動詞","非自立-自立",12
"お願い","する","名詞-動詞","サ変接続-自立",12
"こと","言う","名詞-動詞","非自立-自立",12
"こと","私","名詞-名詞","非自立-代名詞",12
"こと","大切","名詞-名詞","非自立-形容動詞語幹",12
"する","いただく","動詞-動詞","自立-非自立",12
"する","しまう","動詞-動詞","自立-非自立",12
"する","とき","動詞-名詞","自立-非自立",12
"ため","鳥取","名詞-名詞","非自立-固有名詞",12
"なる","おる","動詞-動詞","自立-非自立",12
"なる","くる","動詞-動詞","自立-非自立",12
"なる","思う","動詞-動詞","自立-自立",12
"よう","こと","名詞-名詞","非自立-非自立",12
"よう","もの","名詞-名詞","非自立-非自立",12
"れる","鳥取","動詞-名詞","接尾-固有名詞",12
"一般","的","名詞-名詞","一般-接尾",12
"円","分","名詞-名詞","接尾-接尾",12
"確認","する","名詞-動詞","サ変接続-自立",12
"学生","さん","名詞-名詞","一般-接尾",12
"活躍","する","名詞-動詞","サ変接続-自立",12
"観光","客","名詞-名詞","サ変接続-一般",12
"還元","事業","名詞-名詞","サ変接続-一般",12
"求める","いる","動詞-動詞","自立-非自立",12
"共働き","世帯","名詞-名詞","サ変接続-一般",12
"経済","的","名詞-名詞","一般-接尾",12
"県内","企業","名詞-名詞","一般-一般",12
"交通","便","名詞-名詞","一般-一般",12
"最後","今回","名詞-名詞","一般-副詞可能",12
"子ども","たち","名詞-名詞","一般-接尾",12
"思う","今回","動詞-名詞","自立-副詞可能",12
"少ない","こと","形容詞-名詞","自立-非自立",12
"成長","する","名詞-動詞","サ変接続-自立",12
"生きる","知恵","動詞-名詞","自立-一般",12
"存在","する","名詞-動詞","サ変接続-自立",12
"体験","する","名詞-動詞","サ変接続-自立",12
"大きい","なる","形容詞-動詞","自立-自立",12
"注目","集める","名詞-動詞","サ変接続-自立",12
"年","前","名詞-名詞","接尾-副詞可能",12
"発表","する","名詞-動詞","サ変接続-自立",12
"/","ICT","名詞-名詞","サ変接続-一般",11
"1","回","名詞-名詞","数-接尾",11
"2","割","名詞-名詞","数-接尾",11
"2018","年","名詞-名詞","数-接尾",11
"30","日","名詞-名詞","数-接尾",11
"To","キャンペーン","名詞-名詞","一般-一般",11
"ある","それ","動詞-名詞","自立-代名詞",11
"いく","ため","動詞-名詞","非自立-非自立",11
"いく","必要","動詞-名詞","非自立-形容動詞語幹",11
"こと","今","名詞-名詞","非自立-副詞可能",11
"する","おく","動詞-動詞","自立-非自立",11
"する","くださる","動詞-動詞","自立-非自立",11
"する","企業","動詞-名詞","自立-一般",11
"の","よう","名詞-名詞","非自立-非自立",11
"られる","よう","動詞-名詞","接尾-非自立",11
"られる","鳥取","動詞-名詞","接尾-固有名詞",11
"コード","決済","名詞-名詞","一般-サ変接続",11
"コロナ","世界","名詞-名詞","一般-一般",11
"シャッター","街","名詞-名詞","一般-接尾",11
"テレワーク","導入","名詞-名詞","一般-サ変接続",11
"フレーム","ワーク","名詞-名詞","一般-一般",11
"意識","する","名詞-動詞","サ変接続-自立",11
"円","/","名詞-名詞","接尾-サ変接続",11
"価格","上昇","名詞-名詞","一般-サ変接続",11
"過疎","化","名詞-名詞","一般-接尾",11
"開催","する","名詞-動詞","サ変接続-自立",11
"感じる","こと","動詞-名詞","自立-非自立",11
"共働き","率","名詞-名詞","サ変接続-接尾",11
"経験","する","名詞-動詞","サ変接続-自立",11
"県","自家用車","名詞-名詞","接尾-一般",11
"呼ぶ","れる","動詞-動詞","自立-接尾",11
"工芸","作家","名詞-名詞","一般-一般",11
"考察","する","名詞-動詞","サ変接続-自立",11
"行う","こと","動詞-名詞","自立-非自立",11
"貢献","する","名詞-動詞","サ変接続-自立",11
"降水","量","名詞-名詞","一般-接尾",11
"思う","鳥取","動詞-名詞","自立-固有名詞",11
"耳","する","名詞-動詞","一般-自立",11
"取る","県","動詞-名詞","自立-一般",11
"住む","田舎","動詞-名詞","自立-一般",11
"人","増える","名詞-動詞","一般-自立",11
"推進","する","名詞-動詞","サ変接続-自立",11
"体験","会","名詞-名詞","サ変接続-接尾",11
"知る","おく","動詞-動詞","自立-非自立",11
"地方","移住","名詞-名詞","一般-サ変接続",11
"注意","する","名詞-動詞","サ変接続-自立",11
"注目","する","名詞-動詞","サ変接続-自立",11
"鳥取","ある","名詞-動詞","固有名詞-自立",11
"鳥取","プロスペリティセンター","名詞-名詞","固有名詞-一般",11
"的","見る","名詞-動詞","接尾-自立",11
"電子","マネー","名詞-名詞","一般-一般",11
"導入","率","名詞-名詞","サ変接続-接尾",11
"年","7","名詞-名詞","接尾-数",11
"八頭","町","名詞-名詞","固有名詞-接尾",11
"必要","なる","名詞-動詞","形容動詞語幹-自立",11
"問題","なる","名詞-動詞","ナイ形容詞語幹-自立",11
"率","全国","名詞-名詞","接尾-一般",11
"%","なる","名詞-動詞","サ変接続-自立",10
"1","年","名詞-名詞","数-接尾",10
"2","位","名詞-名詞","数-接尾",10
"3","月","名詞-名詞","数-一般",10
"5","月","名詞-名詞","数-一般",10
"いる","学生","動詞-名詞","非自立-一般",10
"いる","今","動詞-名詞","非自立-副詞可能",10
"しれる","鳥取","動詞-名詞","自立-固有名詞",10
"する","思う","動詞-動詞","自立-自立",10
"する","上","動詞-名詞","自立-非自立",10
"する","新しい","動詞-形容詞","自立-自立",10
"する","方","動詞-名詞","自立-非自立",10
"する","理由","動詞-名詞","自立-一般",10
"たち","やる","名詞-動詞","接尾-自立",10
"できる","環境","動詞-名詞","自立-一般",10
"できる","思う","動詞-動詞","自立-自立",10
"ない","の","形容詞-名詞","自立-非自立",10
"よう","感じる","名詞-動詞","非自立-自立",10
"グラフ","まとめる","名詞-動詞","一般-自立",10
"データ","見る","名詞-動詞","一般-自立",10
"マルサンアイ","鳥取","名詞-名詞","固有名詞-固有名詞",10
"レス","決済","名詞-名詞","サ変接続-サ変接続",10
"飲食","業","名詞-名詞","サ変接続-接尾",10
"課題","解決","名詞-名詞","一般-サ変接続",10
"外","方","名詞-名詞","接尾-非自立",10
"株式会社","トリーカ","名詞-名詞","一般-一般",10
"企業","側","名詞-名詞","一般-接尾",10
"記事","読む","名詞-動詞","一般-自立",10
"居住","地","名詞-名詞","サ変接続-接尾",10
"共有","する","名詞-動詞","サ変接続-自立",10
"興味","ある","名詞-動詞","一般-自立",10
"県","蟹","名詞-名詞","接尾-一般",10
"県","就職","名詞-名詞","接尾-サ変接続",10
"県","地域","名詞-名詞","接尾-一般",10
"県","歴史","名詞-名詞","接尾-一般",10
"減少","傾向","名詞-名詞","サ変接続-一般",10
"言う","こと","動詞-名詞","自立-非自立",10
"考える","鳥取","動詞-名詞","自立-固有名詞",10
"歳","以上","名詞-名詞","接尾-非自立",10
"始める","いる","動詞-動詞","非自立-非自立",10
"思う","よう","動詞-名詞","自立-非自立",10
"指摘","する","名詞-動詞","サ変接続-自立",10
"私","自身","名詞-名詞","代名詞-一般",10
"事業","者","名詞-名詞","一般-接尾",10
"社会","進出","名詞-名詞","一般-サ変接続",10
"社会","的","名詞-名詞","一般-接尾",10
"出る","くる","動詞-動詞","自立-非自立",10
"女性","社会","名詞-名詞","一般-一般",10
"少ない","さ","形容詞-名詞","自立-接尾",10
"消費","者","名詞-名詞","サ変接続-接尾",10
"省","データ","名詞-名詞","接尾-一般",10
"食事","券","名詞-名詞","サ変接続-接尾",10
"製造","業","名詞-名詞","サ変接続-接尾",10
"創","生","名詞-名詞","固有名詞-接尾",10
"多く","人","名詞-名詞","副詞可能-一般",10
"大事","の","名詞-名詞","形容動詞語幹-非自立",10
"鳥取","株式会社","名詞-名詞","固有名詞-一般",10
"店舗","展開","名詞-名詞","一般-サ変接続",10
"二","部","名詞-名詞","数-接尾",10
"日本","財団","名詞-名詞","固有名詞-一般",10
"入れる","いる","動詞-動詞","自立-非自立",10
"認識","する","名詞-動詞","サ変接続-自立",10
"発生","する","名詞-動詞","サ変接続-自立",10
"比較","する","名詞-動詞","サ変接続-自立",10
"付加","価値","名詞-名詞","サ変接続-一般",10
"変化","する","名詞-動詞","サ変接続-自立",10
"豊島","区","名詞-名詞","固有名詞-接尾",10
"魅力","ある","名詞-動詞","一般-自立",10
"連携","する","名詞-動詞","サ変接続-自立",10
"?","?","名詞-名詞","サ変接続-サ変接続",9
"ある","中","動詞-名詞","自立-非自立",9
"いただく","いる","動詞-動詞","非自立-非自立",9
"いる","ここ","動詞-名詞","非自立-代名詞",9
"いる","企業","動詞-名詞","非自立-一般",9
"おる","れる","動詞-動詞","自立-接尾",9
"くる","こと","動詞-名詞","非自立-非自立",9
"こと","やる","名詞-動詞","非自立-自立",9
"こと","自分","名詞-名詞","非自立-一般",9
"しまう","いる","動詞-動詞","非自立-非自立",9
"する","それ","動詞-名詞","自立-代名詞",9
"する","記事","動詞-名詞","自立-一般",9
"する","時間","動詞-名詞","自立-副詞可能",9
"する","必要","動詞-名詞","自立-形容動詞語幹",9
"なる","いく","動詞-動詞","自立-非自立",9
"なる","しまう","動詞-動詞","自立-非自立",9
"の","結果","名詞-名詞","非自立-副詞可能",9
"の","今","名詞-名詞","非自立-副詞可能",9
"まち","づくり","名詞-名詞","一般-接尾",9
"れる","くる","動詞-動詞","接尾-非自立",9
"オンライン","化","名詞-名詞","一般-接尾",9
"コロナ","ウィルス","名詞-名詞","一般-一般",9
"メリット","デメリット","名詞-名詞","一般-一般",9
"移住","者","名詞-名詞","サ変接続-接尾",9
"影響","ある","名詞-動詞","サ変接続-自立",9
"家","いる","名詞-動詞","一般-自立",9
"回答","する","名詞-動詞","サ変接続-自立",9
"開始","する","名詞-動詞","サ変接続-自立",9
"希望","する","名詞-動詞","サ変接続-自立",9
"記事","紹介","名詞-名詞","一般-サ変接続",9
"月","30","名詞-名詞","一般-数",9
"見る","られる","動詞-動詞","自立-接尾",9
"後","仕事","名詞-名詞","接尾-サ変接続",9
"考える","みる","動詞-動詞","自立-非自立",9
"高い","こと","形容詞-名詞","自立-非自立",9
"差","ある","名詞-動詞","一般-自立",9
"採る","?","動詞-名詞","自立-サ変接続",9
"作る","こと","動詞-名詞","自立-非自立",9
"参加","する","名詞-動詞","サ変接続-自立",9
"産業","構造","名詞-名詞","一般-一般",9
"私","思う","名詞-動詞","代名詞-自立",9
"私","鳥取","名詞-名詞","代名詞-固有名詞",9
"取り組み","紹介","名詞-名詞","一般-サ変接続",9
"取締役","社長","名詞-名詞","一般-一般",9
"宿泊","者","名詞-名詞","サ変接続-接尾",9
"少子","高齢","名詞-名詞","一般-一般",9
"進学","する","名詞-動詞","サ変接続-自立",9
"人口","人口","名詞-名詞","一般-一般",9
"睡眠","不足","名詞-名詞","サ変接続-サ変接続",9
"数","年","名詞-名詞","数-接尾",9
"性","高い","名詞-形容詞","接尾-自立",9
"前任","者","名詞-名詞","一般-接尾",9
"倉吉","市","名詞-名詞","固有名詞-接尾",9
"掃除","する","名詞-動詞","サ変接続-自立",9
"増加","傾向","名詞-名詞","サ変接続-一般",9
"多い","こと","形容詞-名詞","自立-非自立",9
"多く","方","名詞-名詞","副詞可能-非自立",9
"年","時点","名詞-名詞","接尾-一般",9
"判断","する","名詞-動詞","サ変接続-自立",9
"評価","する","名詞-動詞","サ変接続-自立",9
"不足","する","名詞-動詞","サ変接続-自立",9
"保護","者","名詞-名詞","サ変接続-接尾",9
"用意","する","名詞-動詞","サ変接続-自立",9
"利用","率","名詞-名詞","サ変接続-接尾",9
"/","1","名詞-名詞","サ変接続-数",8
"2","回","名詞-名詞","数-接尾",8
"5",",","名詞-名詞","数-サ変接続",8
"C","T","名詞-名詞","一般-一般",8
"ICT","実装","名詞-名詞","一般-サ変接続",8
"IT","技術","名詞-名詞","固有名詞-一般",8
"２","０","名詞-名詞","数-数",8
"いる","2","動詞-名詞","非自立-数",8
"いる","これ","動詞-名詞","非自立-代名詞",8
